config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,best_trace_cnr_from_trace,best_trace_step,best_trace_cnr_audited,sweep,sweep_dir,final_hits_apl_min,trace_hits_apl_min,object_index,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean,nlm_patch_size,nlm_patch_distance,fixed_init_seed
cfg0010,10,10,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.1,2.760119676589966,7.516624927520752,0.1728512495756149,0.0046857297420501,0.9740339702575446,3.779665946960449,0.0005776069592684,3.779665946960449,38,3.779665946960449,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0011,11,11,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.12,2.722565174102783,7.487972259521484,0.1661263406276703,0.0046857297420501,0.9740339702575446,3.7165374755859375,0.0005855029448866,3.7165374755859375,38,3.7165374755859375,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0012,12,12,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.06,3.307601928710937,7.402843475341797,0.1539678573608398,0.0046857297420501,0.9740339702575446,3.421428680419922,0.0002526173775549,3.421428680419922,194,3.421428680419922,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0013,13,13,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.08,3.0371692180633545,7.293702125549316,0.1081398576498031,0.0046857297420501,0.9740339702575446,3.221691846847534,0.000323353393469,3.221691846847534,5,3.221691846847534,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0014,14,14,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.1,2.6932780742645264,7.2294416427612305,0.0862775295972824,0.0046857297420501,0.9740339702575446,3.2207491397857666,0.0003774619835894,3.2207491397857666,5,3.2207491397857666,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0015,15,15,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.12,2.5353147983551025,7.220653533935547,0.077563852071762,0.0046857297420501,0.9740339702575446,3.180847644805908,0.0003792090283241,3.180847644805908,5,3.180847644805908,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0016,16,16,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.06,1.0747148990631104,1.238917112350464,0.009377509355545,0.0046857297420501,0.9740339702575446,8.217822074890137,0.0639815628528595,8.217822074890137,92,8.217822074890137,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0017,17,17,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.08,1.6737914085388184,1.2407150268554688,0.0055705280974507,0.0046857297420501,0.9740339702575446,7.801931381225586,0.0617920607328414,7.801931381225586,164,7.801931381225586,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0018,18,18,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.1,1.36907160282135,1.1703286170959473,0.0022874069400131,0.0046857297420501,0.9740339702575446,6.164307117462158,0.0625635758042335,6.164307117462158,127,6.164307117462158,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0019,19,19,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.12,1.282196879386902,1.15586256980896,0.0017018024809658,0.0046857297420501,0.9740339702575446,5.142920970916748,0.0626996308565139,5.142920970916748,127,5.142920970916748,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0020,20,20,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.06,2.889781951904297,8.189142227172852,0.073595181107521,0.0046857297420501,0.9740339702575446,8.62624740600586,0.0018189242109656,8.62624740600586,60,8.62624740600586,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0021,21,21,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.08,2.0227997303009038,7.824844837188721,0.0094566559419035,0.0046857297420501,0.9740339702575446,7.339540481567383,0.0015060664154589,7.339540481567383,33,7.339540481567383,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0022,22,22,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.1,3.512305974960327,7.640448570251465,0.0510017722845077,0.0046857297420501,0.9740339702575446,5.93975830078125,0.0005430308519862,5.93975830078125,43,5.93975830078125,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0023,23,23,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.12,2.7541985511779785,7.6412177085876465,0.0236092433333396,0.0046857297420501,0.9740339702575446,5.351033687591553,0.0006893548415973,5.351033687591553,43,5.351033687591553,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0024,24,24,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.06,3.322108030319214,7.585106372833252,0.180801659822464,0.0046857297420501,0.9740339702575446,5.028441429138184,0.0007386654615402,5.028441429138184,38,5.028441429138184,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0025,25,25,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.08,3.700219392776489,7.479671955108643,0.1650267243385315,0.0046857297420501,0.9740339702575446,5.494696617126465,0.000922160106711,5.494696617126465,38,5.494696617126465,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0026,26,26,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.1,3.6197495460510254,7.364639282226562,0.1430779993534088,0.0046857297420501,0.9740339702575446,5.353512287139893,0.0010198001982644,5.353512287139893,11,5.353512287139893,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0027,27,27,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.12,3.45574688911438,7.258248329162598,0.1253795623779297,0.0046857297420501,0.9740339702575446,5.0653076171875,0.001088200835511,5.0653076171875,11,5.0653076171875,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0028,28,28,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.06,3.472555637359619,7.067504405975342,0.0588288232684135,0.0046857297420501,0.9740339702575446,4.195087909698486,0.0003504385822452,4.195087909698486,6,4.195087909698486,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0029,29,29,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.08,3.018721580505371,6.959848880767822,0.0416402369737625,0.0046857297420501,0.9740339702575446,5.222026824951172,0.0003413885715417,5.222026824951172,6,5.222026824951172,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0030,30,30,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.1,2.6801555156707764,6.8997483253479,0.0287578366696834,0.0046857297420501,0.9740339702575446,5.151325702667236,0.0003142378991469,5.151325702667236,6,5.151325702667236,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0031,31,31,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.12,2.6952579021453857,6.880118370056152,0.027561267837882,0.0046857297420501,0.9740339702575446,4.871192455291748,0.0003241705126129,4.871192455291748,6,4.871192455291748,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0032,32,32,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.06,1.0171129703521729,1.36037015914917,0.0195200368762016,0.0046857297420501,0.9740339702575446,5.202338695526123,0.0612484589219093,5.202338695526123,44,5.202338695526123,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0033,33,33,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.08,1.439306378364563,1.3559222221374512,0.0097278878092765,0.0046857297420501,0.9740339702575446,5.158898830413818,0.0614249184727668,5.158898830413818,76,5.158898830413818,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0034,34,34,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.1,1.6183478832244873,1.568213701248169,0.006693098694086,0.0046857297420501,0.9740339702575446,4.344691753387451,0.0555464252829551,4.344691753387451,5,4.344691753387451,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0035,35,35,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.12,1.5369184017181396,1.6119061708450315,0.0030709970742464,0.0046857297420501,0.9740339702575446,3.9672038555145264,0.0539021044969558,3.9672038555145264,4,3.9672038555145264,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0036,36,36,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.06,2.3940463066101074,8.303067207336426,0.0463976711034774,0.0046857297420501,0.9740339702575446,6.319156169891357,0.0031053232960402,6.319156169891357,4,6.319156169891357,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0037,37,37,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.08,1.6575300693511963,7.005553245544434,0.0078515615314245,0.0046857297420501,0.9740339702575446,6.228094577789307,0.0008124375017359,6.228094577789307,3,6.228094577789307,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0038,38,38,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.1,1.4964410066604614,7.260259628295898,-0.0001877581235021,0.0046857297420501,0.9740339702575446,5.502892971038818,0.0009053476969711,5.502892971038818,3,5.502892971038818,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0039,39,39,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.12,1.6795973777770996,7.649545192718506,0.0197808183729648,0.0046857297420501,0.9740339702575446,4.781780242919922,0.0013566456036642,4.781780242919922,3,4.781780242919922,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0040,40,40,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,5.131390571594238,7.494930744171143,0.1638140082359314,0.0046857297420501,0.9740339702575446,8.91336441040039,0.0012066402705386,8.91336441040039,38,8.91336441040039,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0041,41,41,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,4.436802864074707,7.102706909179688,0.0824667662382125,0.0046857297420501,0.9740339702575446,7.476325035095215,0.0014576378744095,7.476325035095215,118,7.476325035095215,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0042,42,42,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.1,2.7989706993103027,7.407210350036621,0.0346896648406982,0.0046857297420501,0.9740339702575446,6.11786699295044,0.0009733753395266,6.11786699295044,82,6.11786699295044,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0043,43,43,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.12,2.852081298828125,6.804976463317871,0.0235712844878435,0.0046857297420501,0.9740339702575446,5.450925350189209,0.0013865923974663,5.450925350189209,57,5.450925350189209,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0044,44,44,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.06,2.799550771713257,6.676806449890137,0.0189506504684686,0.0046857297420501,0.9740339702575446,8.150989532470703,0.0006130100227892,8.150989532470703,24,8.150989532470703,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0045,45,45,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.08,2.6423380374908447,6.767283439636231,0.0159696396440267,0.0046857297420501,0.9740339702575446,7.529607772827148,0.00053977209609,7.529607772827148,4,7.529607772827148,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0046,46,46,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.1,2.1574370861053467,6.632392406463623,-0.0017247605137526,0.0046857297420501,0.9740339702575446,6.497591972351074,0.0005769302370026,6.497591972351074,33,6.497591972351074,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0047,47,47,20240709,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.12,2.3718371391296387,6.592451095581055,0.0062388158403337,0.0046857297420501,0.9740339702575446,5.937131404876709,0.0005933652282692,5.937131404876709,18,5.937131404876709,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,,,,
cfg0000,0,0,20240709,letter_A,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,8.424839973449707,9.12310791015625,0.0764820426702499,0.0049422979354858,0.8982973786074485,12.40100383758545,0.0014095910592004,12.40100383758545,39,12.40100383758545,nlm_allobjects,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_allobjects_r1,False,True,0.0,,,,,,,,,,,,,,,,,,,
cfg0000,0,0,20240710,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,5.535244464874268,6.399226665496826,0.1718102991580963,0.0046856999397277,0.9740428844495652,8.931845664978027,0.0056888610124588,8.931845664978027,40,8.931845664978027,nlm_allobjects,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_allobjects_r1,False,False,1.0,,,,,,,,,,,,,,,,,,,
cfg0000,0,0,20240711,letter_L,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,12.796236038208008,11.924447059631348,0.0744598656892776,0.0045872330665588,1.0,21.110126495361328,0.005586365237832,21.110126495361328,40,21.110126495361328,nlm_allobjects,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_allobjects_r1,True,True,2.0,,,,,,,,,,,,,,,,,,,
cfg0000,0,0,20240712,ring,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,7.463228702545166,11.39198875427246,0.0826562345027923,0.0037031769752502,1.0,13.54942798614502,0.0138232633471488,13.54942798614502,39,13.54942798614502,nlm_allobjects,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_allobjects_r1,False,True,3.0,,,,,,,,,,,,,,,,,,,
cfg0001,1,1,20240709,letter_A,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,8.453327178955078,10.252985000610352,0.0751435533165931,0.0049422979354858,0.8982973786074485,13.209966659545898,0.0014328763354569,13.209966659545898,117,13.209966659545898,nlm_allobjects,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_allobjects_r1,False,True,0.0,,,,,,,,,,,,,,,,,,,
cfg0001,1,1,20240710,stripe_target,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,6.032608985900879,6.317647933959961,0.1185755580663681,0.0046856999397277,0.9740428844495652,8.185490608215332,0.005533680319786,8.185490608215332,145,8.185490608215332,nlm_allobjects,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_allobjects_r1,False,False,1.0,,,,,,,,,,,,,,,,,,,
