sigma_a,correction,challenger,baseline,rho,challenger_psnr,baseline_psnr,margin_db,challenger_rel_mse,baseline_rel_mse,min_rel_mse,above_floor,above_floor_rel_mse
0.15,reference_k32,dct_paired,hadamard_paired,0.001,32.17457442545676,35.079301633742055,-2.904727208285294,0.0069720651883507,0.0035699063934497,0.0035699063934497,True,0.5
0.15,reference_k32,dct_paired,hadamard_paired,0.003,27.468116817383653,30.3373951599712,-2.869278342587549,0.020601083377436,0.0106357898396888,0.0106357898396888,True,0.5
0.15,reference_k32,dct_paired,hadamard_paired,0.01,22.451241017320427,25.21220371983882,-2.760962702518391,0.0653356134082411,0.0345961243418864,0.0345961243418864,True,0.5
0.15,reference_k32,dct_paired,hadamard_paired,0.03,18.22896317820972,20.73630726999714,-2.50734409178742,0.1723325873147644,0.0968217172312709,0.0968217172312709,True,0.5
0.15,reference_k32,dct_paired,hadamard_paired,0.1,14.529869884060798,16.460989481563587,-1.9311195975027893,0.4021803194159834,0.2582607709265043,0.2582607709265043,True,0.5
0.15,reference_k32,dct_paired,hadamard_paired,0.3,12.437814583825316,13.670012378748252,-1.2321977949229357,0.6488702636997323,0.4892553197609578,0.4892553197609578,True,0.5
0.15,reference_k32,dct_paired,hadamard_paired,1.0,11.430465191062778,12.093589184159182,-0.6631239930964039,0.8170233325643469,0.7016626830054732,0.7016626830054732,False,0.5
0.15,reference_k32,dct_paired,hadamard_paired,3.0,11.170716631977394,11.642844426569484,-0.4721277945920903,0.8671009222429343,0.7779761254987672,0.7779761254987672,False,0.5
0.15,reference_k32,dct_paired,hadamard_paired,10.0,11.14422159178835,11.595929001647647,-0.45170740985929747,0.8723791206498394,0.7863868583286059,0.7863868583286059,False,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.001,34.96206219212281,35.079301633742055,-0.11723944161924749,0.0036662037761711,0.0035699063934497,0.0035699063934497,True,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.003,30.22811433987384,30.3373951599712,-0.10928082009736073,0.010902595817352,0.0106357898396888,0.0106357898396888,True,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.01,25.11948169801167,25.21220371983882,-0.09272202182715006,0.0353290595772598,0.0345961243418864,0.0345961243418864,True,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.03,20.67519060523127,20.73630726999714,-0.06111666476587274,0.0981625130091552,0.0968217172312709,0.0968217172312709,True,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.1,16.460481740148616,16.460989481563587,-0.000507741414971008,0.2582927600210697,0.2582607709265043,0.2582607709265043,True,0.5
0.15,reference_k32,srht_paired,hadamard_paired,0.3,13.72414298904734,13.670012378748252,0.05413061029908839,0.4833838632131333,0.4892553197609578,0.4833838632131333,True,0.5
0.15,reference_k32,srht_paired,hadamard_paired,1.0,12.18019814585199,12.093589184159182,0.08660896169280896,0.6880762126315011,0.7016626830054732,0.6880762126315011,False,0.5
0.15,reference_k32,srht_paired,hadamard_paired,3.0,11.721162656475313,11.642844426569484,0.07831822990582893,0.7642827609406673,0.7779761254987672,0.7642827609406673,False,0.5
0.15,reference_k32,srht_paired,hadamard_paired,10.0,11.671408962973258,11.595929001647647,0.07547996132561074,0.7730412265459715,0.7863868583286059,0.7730412265459715,False,0.5
0.15,reference_k8,random_uniform,hadamard_paired,0.001,15.226680510474772,35.63559314755174,-20.408912637076966,0.3408459291737793,0.003144464348098,0.003144464348098,True,0.5
0.15,reference_k8,random_uniform,hadamard_paired,0.003,14.943383627561069,30.88889380725466,-15.945510179693592,0.363884330064169,0.009378505605183,0.009378505605183,True,0.5
0.15,reference_k8,random_uniform,hadamard_paired,0.01,14.194249718983128,25.74817269080331,-11.553922971820183,0.4326533495230105,0.0306152268425934,0.0306152268425934,True,0.5
0.15,reference_k8,random_uniform,hadamard_paired,0.03,13.041262390401764,21.225550862584303,-8.184288472182539,0.5644711091234628,0.0866035070494926,0.0866035070494926,True,0.5
0.15,reference_k8,random_uniform,hadamard_paired,0.1,11.782808785207726,16.79121191822858,-5.008403133020854,0.753604794801522,0.2395415606199569,0.2395415606199569,True,0.5
0.15,reference_k8,random_uniform,hadamard_paired,0.3,11.12572180246996,13.793289628083093,-2.6675678256131334,0.8760490012125147,0.4756887754442171,0.4756887754442171,True,0.5
0.15,reference_k8,random_uniform,hadamard_paired,1.0,10.882422296436632,12.113143862934294,-1.230721566497662,0.9262975608455798,0.698568427760768,0.698568427760768,False,0.5
0.15,reference_k8,random_uniform,hadamard_paired,3.0,10.834768112792478,11.646724390375516,-0.8119562775830378,0.93647461505406,0.777329278167049,0.777329278167049,False,0.5
0.15,reference_k8,random_uniform,hadamard_paired,10.0,10.830393636284969,11.599337781651002,-0.7689441453660333,0.9374144335600968,0.7858170363840513,0.7858170363840513,False,0.5
0.15,reference_k8,random_binary,hadamard_paired,0.001,15.224145312084104,35.63559314755174,-20.411447835467634,0.3409181381255682,0.003144464348098,0.003144464348098,True,0.5
0.15,reference_k8,random_binary,hadamard_paired,0.003,15.123261873884417,30.88889380725466,-15.765631933370244,0.3489232416085846,0.009378505605183,0.009378505605183,True,0.5
0.15,reference_k8,random_binary,hadamard_paired,0.01,14.806503855688588,25.74817269080331,-10.941668835114724,0.3753475765835765,0.0306152268425934,0.0306152268425934,True,0.5
0.15,reference_k8,random_binary,hadamard_paired,0.03,14.122449372391046,21.225550862584303,-7.103101490193257,0.4395716169920931,0.0866035070494926,0.0866035070494926,True,0.5
0.15,reference_k8,random_binary,hadamard_paired,0.1,12.897255952018918,16.79121191822858,-3.8939559662096617,0.5831639735386601,0.2395415606199569,0.2395415606199569,True,0.5
0.15,reference_k8,random_binary,hadamard_paired,0.3,11.872553391262583,13.793289628083093,-1.9207362368205096,0.7380310955937894,0.4756887754442171,0.4756887754442171,True,0.5
0.15,reference_k8,random_binary,hadamard_paired,1.0,11.376316251338112,12.113143862934294,-0.7368276115961816,0.8271082815290229,0.698568427760768,0.698568427760768,False,0.5
0.15,reference_k8,random_binary,hadamard_paired,3.0,11.281530563527124,11.646724390375516,-0.3651938268483921,0.8453109865498647,0.777329278167049,0.777329278167049,False,0.5
0.15,reference_k8,random_binary,hadamard_paired,10.0,11.273276038671307,11.599337781651002,-0.3260617429796948,0.8469032319087424,0.7858170363840513,0.7858170363840513,False,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,0.001,19.963855479504943,35.63559314755174,-15.671737668046795,0.1144585686412774,0.003144464348098,0.003144464348098,True,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,0.003,19.621874978574347,30.88889380725466,-11.267018828680314,0.1238647059890146,0.009378505605183,0.009378505605183,True,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,0.01,18.640835645637388,25.74817269080331,-7.107337045165924,0.1553569788978189,0.0306152268425934,0.0306152268425934,True,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,0.03,16.864209571488065,21.225550862584303,-4.361341291096238,0.2340795210055068,0.0866035070494926,0.0866035070494926,True,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,0.1,14.320199594865798,16.79121191822858,-2.471012323362782,0.4205431756856829,0.2395415606199569,0.2395415606199569,True,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,0.3,12.485155341937707,13.793289628083093,-1.3081342861453855,0.6410730930786667,0.4756887754442171,0.4756887754442171,True,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,1.0,11.6028384202919,12.113143862934294,-0.5103054426423945,0.7850317991970553,0.698568427760768,0.698568427760768,False,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,3.0,11.44224567781276,11.646724390375516,-0.2044787125627554,0.8145721270102209,0.777329278167049,0.777329278167049,False,0.5
0.15,reference_k8,fourier_fourstep,hadamard_paired,10.0,11.434840538463886,11.599337781651002,-0.16449724318711567,0.8159664254088151,0.7858170363840513,0.7858170363840513,False,0.5
0.15,reference_k8,dct_paired,hadamard_paired,0.001,32.63458915011081,35.63559314755174,-3.0010039974409253,0.0062747492524863,0.003144464348098,0.003144464348098,True,0.5
0.15,reference_k8,dct_paired,hadamard_paired,0.003,27.91405267155844,30.88889380725466,-2.97484113569622,0.0186005426509964,0.009378505605183,0.009378505605183,True,0.5
0.15,reference_k8,dct_paired,hadamard_paired,0.01,22.862564317654872,25.74817269080331,-2.8856083731484397,0.0594617247847892,0.0306152268425934,0.0306152268425934,True,0.5
0.15,reference_k8,dct_paired,hadamard_paired,0.03,18.56835894647705,21.225550862584303,-2.6571919161072515,0.159446372416078,0.0866035070494926,0.0866035070494926,True,0.5
0.15,reference_k8,dct_paired,hadamard_paired,0.1,14.707234289167138,16.79121191822858,-2.083977629061442,0.3861157364386832,0.2395415606199569,0.2395415606199569,True,0.5
0.15,reference_k8,dct_paired,hadamard_paired,0.3,12.477955006779712,13.793289628083093,-1.3153346213033803,0.6427788408315206,0.4756887754442171,0.4756887754442171,True,0.5
0.15,reference_k8,dct_paired,hadamard_paired,1.0,11.422495746466552,12.113143862934294,-0.6906481164677416,0.8184038630798018,0.698568427760768,0.698568427760768,False,0.5
0.15,reference_k8,dct_paired,hadamard_paired,3.0,11.155662128862897,11.646724390375516,-0.491062261512619,0.8700163344026887,0.777329278167049,0.777329278167049,False,0.5
0.15,reference_k8,dct_paired,hadamard_paired,10.0,11.128861386662964,11.599337781651002,-0.4704763949880384,0.8753782096071276,0.7858170363840513,0.7858170363840513,False,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.001,35.606876012128794,35.63559314755174,-0.028717135422944295,0.0031646446840888,0.003144464348098,0.003144464348098,True,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.003,30.86773581132529,30.88889380725466,-0.02115799592937151,0.0094222487859039,0.009378505605183,0.009378505605183,True,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.01,25.7415531815221,25.74817269080331,-0.0066195092812115774,0.030655208716522,0.0306152268425934,0.0306152268425934,True,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.03,21.241388417540836,21.225550862584303,0.015837554956533495,0.0862711635714557,0.0866035070494926,0.0862711635714557,True,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.1,16.846519801685762,16.79121191822858,0.05530788345718207,0.236487842475183,0.2395415606199569,0.236487842475183,True,0.5
0.15,reference_k8,srht_paired,hadamard_paired,0.3,13.896727587386897,13.793289628083093,0.10343795930380395,0.464571959660378,0.4756887754442171,0.464571959660378,True,0.5
0.15,reference_k8,srht_paired,hadamard_paired,1.0,12.233231197878151,12.113143862934294,0.12008733494385737,0.6797032805282996,0.698568427760768,0.6797032805282996,False,0.5
0.15,reference_k8,srht_paired,hadamard_paired,3.0,11.743742098273096,11.646724390375516,0.0970177078975798,0.7602976476960464,0.777329278167049,0.7602976476960464,False,0.5
0.15,reference_k8,srht_paired,hadamard_paired,10.0,11.69125003127655,11.599337781651002,0.09191224962554756,0.7694943495084542,0.7858170363840513,0.7694943495084542,False,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,0.001,14.509640913569433,34.77601975168693,-20.266378838117497,0.402299410872653,0.0038232970769576,0.0038232970769576,True,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,0.003,13.491256535997076,30.02560941256352,-16.534352876566444,0.508962732053499,0.0114120512995694,0.0114120512995694,True,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,0.01,12.153019978875346,24.896034571633365,-12.74301459275802,0.6922709903212296,0.0371594990224558,0.0371594990224558,True,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,0.03,11.342811208187095,20.443226120272115,-9.10041491208502,0.8335025933646969,0.1034729988857079,0.1034729988857079,True,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,0.1,11.01730812228772,16.295051171435407,-5.277743049147688,0.8980810461334987,0.2681035908677449,0.2681035908677449,True,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,0.3,10.958824956708126,13.63072288971838,-2.6718979330102535,0.9102271947614788,0.4935638078244291,0.4935638078244291,True,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,1.0,10.941826072229787,12.102948671049369,-1.1611225988195812,0.9138249932180544,0.7001199005203308,0.7001199005203308,False,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,3.0,10.937191156628124,11.652818491084686,-0.7156273344565616,0.9147822392287448,0.7761682140323464,0.7761682140323464,False,0.5
0.15,scgi_proxy,random_uniform,hadamard_paired,10.0,10.93656349605125,11.605870631078972,-0.6693071350277222,0.9149086316128492,0.7845671870530615,0.7845671870530615,False,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,0.001,14.87919888935732,34.77601975168693,-19.896820862329612,0.3691003526221505,0.0038232970769576,0.0038232970769576,True,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,0.003,14.33919727345009,30.02560941256352,-15.686412139113429,0.4180789339495402,0.0114120512995694,0.0114120512995694,True,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,0.01,13.257030784450253,24.896034571633365,-11.639003787183112,0.5367333958201337,0.0371594990224558,0.0371594990224558,True,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,0.03,12.212971552899027,20.443226120272115,-8.230254567373088,0.6825299725417219,0.1034729988857079,0.1034729988857079,True,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,0.1,11.629129395289493,16.295051171435407,-4.665921776145915,0.7803190514566951,0.2681035908677449,0.2681035908677449,True,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,0.3,11.50570676321358,13.63072288971838,-2.1250161265048,0.8027047951469384,0.4935638078244291,0.4935638078244291,True,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,1.0,11.466682836040928,12.102948671049369,-0.6362658350084409,0.8099889854798725,0.7001199005203308,0.7001199005203308,False,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,3.0,11.462071877113631,11.652818491084686,-0.1907466139710543,0.8109126041412348,0.7761682140323464,0.7761682140323464,False,0.5
0.15,scgi_proxy,random_binary,hadamard_paired,10.0,11.46207755642704,11.605870631078972,-0.14379307465193136,0.8109147635217915,0.7845671870530615,0.7845671870530615,False,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,0.001,20.857295594143974,34.77601975168693,-13.918724157542957,0.0933026166174827,0.0038232970769576,0.0038232970769576,True,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,0.003,20.25146686135676,30.02560941256352,-9.774142551206758,0.107343963284209,0.0114120512995694,0.0114120512995694,True,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,0.01,18.655435635277783,24.896034571633365,-6.240598936355582,0.1551160266432224,0.0371594990224558,0.0371594990224558,True,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,0.03,16.261797044034605,20.443226120272115,-4.18142907623751,0.2691389038176729,0.1034729988857079,0.1034729988857079,True,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,0.1,13.651459146986008,16.295051171435407,-2.643592024449399,0.4906220769335717,0.2681035908677449,0.2681035908677449,True,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,0.3,12.16330935807708,13.63072288971838,-1.4674135316412986,0.6903319409525753,0.4935638078244291,0.4935638078244291,True,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,1.0,11.489887486705555,12.102948671049369,-0.6130611843438132,0.8056977802597359,0.7001199005203308,0.7001199005203308,False,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,3.0,11.377917811801185,11.652818491084686,-0.27490067928350115,0.8267119979521139,0.7761682140323464,0.7761682140323464,False,0.5
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,10.0,11.375942102802856,11.605870631078972,-0.22992852827611543,0.8270943629528625,0.7845671870530615,0.7845671870530615,False,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,0.001,31.992964318131616,34.77601975168693,-2.7830554335553153,0.0072647665832044,0.0038232970769576,0.0038232970769576,True,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,0.003,27.28480799519943,30.02560941256352,-2.7408014173640893,0.0214724614815071,0.0114120512995694,0.0114120512995694,True,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,0.01,22.2707319801179,24.896034571633365,-2.6253025915154637,0.0680491035532162,0.0371594990224558,0.0371594990224558,True,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,0.03,18.049985964178845,20.443226120272115,-2.3932401560932703,0.1794452044628324,0.1034729988857079,0.1034729988857079,True,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,0.1,14.40359167808736,16.295051171435407,-1.891459493348048,0.4138597965522296,0.2681035908677449,0.2681035908677449,True,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,0.3,12.397906447141963,13.63072288971838,-1.232816442576416,0.6546724873274308,0.4935638078244291,0.4935638078244291,True,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,1.0,11.422599404902885,12.102948671049369,-0.680349266146484,0.8183840076346958,0.7001199005203308,0.7001199005203308,False,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,3.0,11.16110570402771,11.652818491084686,-0.49171278705697574,0.8689326895105945,0.7761682140323464,0.7761682140323464,False,0.5
0.15,scgi_proxy,dct_paired,hadamard_paired,10.0,11.13431454430778,11.605870631078972,-0.47155608677119254,0.8742860900044158,0.7845671870530615,0.7845671870530615,False,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.001,34.66112855778703,34.77601975168693,-0.11489119389990066,0.0039268053653507,0.0038232970769576,0.0038232970769576,True,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.003,29.92997320344793,30.02560941256352,-0.09563620911558957,0.0116702371589732,0.0114120512995694,0.0114120512995694,True,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.01,24.8410152816342,24.896034571633365,-0.05501928999916572,0.0376487003143568,0.0371594990224558,0.0371594990224558,True,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.03,20.456327817823805,20.443226120272115,0.013101697551689995,0.1032046256734661,0.1034729988857079,0.1032046256734661,True,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.1,16.390602191811887,16.295051171435407,0.09555102037647956,0.2624590116351389,0.2681035908677449,0.2624590116351389,True,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,0.3,13.745872782880976,13.63072288971838,0.11514989316259694,0.4809352163287272,0.4935638078244291,0.4809352163287272,True,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,1.0,12.215140661572304,12.102948671049369,0.11219199052293582,0.6825565976074942,0.7001199005203308,0.6825565976074942,False,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,3.0,11.745984709082457,11.652818491084686,0.09316621799777103,0.7599228551352983,0.7761682140323464,0.7599228551352983,False,0.5
0.15,scgi_proxy,srht_paired,hadamard_paired,10.0,11.695153162921862,11.605870631078972,0.08928253184289048,0.7688216662080559,0.7845671870530615,0.7688216662080559,False,0.5
0.3,agc,random_uniform,hadamard_paired,0.001,13.151005431258111,23.3361884891776,-10.18518305791949,0.55045439964402,0.0532118075090392,0.0532118075090392,True,0.5
0.3,agc,random_uniform,hadamard_paired,0.003,11.928072629764396,21.19932977029037,-9.271257140525973,0.7289089243438944,0.0871896958385855,0.0871896958385855,True,0.5
0.3,agc,random_uniform,hadamard_paired,0.01,11.089258689852612,17.795971063932758,-6.706712374080146,0.8833630098511114,0.1906784224956196,0.1906784224956196,True,0.5
0.3,agc,random_uniform,hadamard_paired,0.03,10.78242708731565,14.644449891487822,-3.862022804172172,0.9477829447699752,0.3921691460341321,0.3921691460341321,True,0.5
0.3,agc,random_uniform,hadamard_paired,0.1,10.683132759145913,12.310362511995264,-1.6272297528493507,0.9696497999850956,0.6680302810828382,0.6680302810828382,False,0.5
0.3,agc,random_uniform,hadamard_paired,0.3,10.662307232546029,11.299284178751591,-0.6369769462055626,0.9743043435467698,0.8418019924925021,0.8418019924925021,False,0.5
0.3,agc,random_uniform,hadamard_paired,1.0,10.653826665539365,10.879253524456583,-0.2254268589172188,0.9762104708475972,0.9268935684675677,0.9268935684675677,False,0.5
0.3,agc,random_uniform,hadamard_paired,3.0,10.651342569374142,10.774796461628569,-0.12345389225442638,0.9767605899816229,0.9493993260680617,0.9493993260680617,False,0.5
0.3,agc,random_uniform,hadamard_paired,10.0,10.650966306034144,10.764472172446164,-0.11350586641201943,0.9768434626311732,0.9516546280459536,0.9516546280459536,False,0.5
0.3,agc,random_binary,hadamard_paired,0.001,14.114263362978638,23.3361884891776,-9.221925126198963,0.440374488648667,0.0532118075090392,0.0532118075090392,True,0.5
0.3,agc,random_binary,hadamard_paired,0.003,13.010301788470748,21.19932977029037,-8.18902798181962,0.5681384020936634,0.0871896958385855,0.0871896958385855,True,0.5
0.3,agc,random_binary,hadamard_paired,0.01,11.780719365525556,17.795971063932758,-6.0152516984072015,0.7537112857071009,0.1906784224956196,0.1906784224956196,True,0.5
0.3,agc,random_binary,hadamard_paired,0.03,11.135906209122291,14.644449891487822,-3.5085436823655307,0.873870969472907,0.3921691460341321,0.3921691460341321,True,0.5
0.3,agc,random_binary,hadamard_paired,0.1,10.881628825126253,12.310362511995264,-1.4287336868690108,0.9263735360300672,0.6680302810828382,0.6680302810828382,False,0.5
0.3,agc,random_binary,hadamard_paired,0.3,10.829418292631445,11.299284178751591,-0.46986588612014657,0.937556080143461,0.8418019924925021,0.8418019924925021,False,0.5
0.3,agc,random_binary,hadamard_paired,1.0,10.81180621920275,10.879253524456583,-0.06744730525383247,0.9413989287828364,0.9268935684675677,0.9268935684675677,False,0.5
0.3,agc,random_binary,hadamard_paired,3.0,10.80952873220486,10.774796461628569,0.034732270576292024,0.9419198546782702,0.9493993260680617,0.9419198546782702,False,0.5
0.3,agc,random_binary,hadamard_paired,10.0,10.809411902773318,10.764472172446164,0.04493973032715459,0.9419461822595688,0.9516546280459536,0.9419461822595688,False,0.5
0.3,agc,fourier_fourstep,hadamard_paired,0.001,21.388382659353265,23.3361884891776,-1.9478058298243361,0.0831455142699842,0.0532118075090392,0.0532118075090392,True,0.5
0.3,agc,fourier_fourstep,hadamard_paired,0.003,18.45596095176523,21.19932977029037,-2.7433688185251377,0.1630430646932244,0.0871896958385855,0.0871896958385855,True,0.5
0.3,agc,fourier_fourstep,hadamard_paired,0.01,15.02243875415066,17.795971063932758,-2.773532309782098,0.3585238089020084,0.1906784224956196,0.1906784224956196,True,0.5
0.3,agc,fourier_fourstep,hadamard_paired,0.03,12.656979431435396,14.644449891487822,-1.9874704600524264,0.6166136777117597,0.3921691460341321,0.3921691460341321,True,0.5
0.3,agc,fourier_fourstep,hadamard_paired,0.1,11.341416064960285,12.310362511995264,-0.9689464470349787,0.8336973398772625,0.6680302810828382,0.6680302810828382,False,0.5
0.3,agc,fourier_fourstep,hadamard_paired,0.3,10.895647096922229,11.299284178751591,-0.40363708182936264,0.9234514462687108,0.8418019924925021,0.8418019924925021,False,0.5
0.3,agc,fourier_fourstep,hadamard_paired,1.0,10.740179289409657,10.879253524456583,-0.13907423504692673,0.9570118669629328,0.9268935684675677,0.9268935684675677,False,0.5
0.3,agc,fourier_fourstep,hadamard_paired,3.0,10.716847896043497,10.774796461628569,-0.057948565585071776,0.962162230865164,0.9493993260680617,0.9493993260680617,False,0.5
0.3,agc,fourier_fourstep,hadamard_paired,10.0,10.716500037972317,10.764472172446164,-0.04797213447384685,0.962240363732394,0.9516546280459536,0.9516546280459536,False,0.5
0.3,agc,dct_paired,hadamard_paired,0.001,21.52621186190895,23.3361884891776,-1.8099766272686502,0.0805198515130905,0.0532118075090392,0.0532118075090392,True,0.5
0.3,agc,dct_paired,hadamard_paired,0.003,18.963079848761776,21.19932977029037,-2.236249921528593,0.1456153290354527,0.0871896958385855,0.0871896958385855,True,0.5
0.3,agc,dct_paired,hadamard_paired,0.01,15.616676565845378,17.795971063932758,-2.17929449808738,0.314110315715918,0.1906784224956196,0.1906784224956196,True,0.5
0.3,agc,dct_paired,hadamard_paired,0.03,13.054521596718036,14.644449891487822,-1.589928294769786,0.5640366182062302,0.3921691460341321,0.3921691460341321,True,0.5
0.3,agc,dct_paired,hadamard_paired,0.1,11.489582098164654,12.310362511995264,-0.8207804138306098,0.8061312513588149,0.6680302810828382,0.6680302810828382,False,0.5
0.3,agc,dct_paired,hadamard_paired,0.3,10.925250720161753,11.299284178751591,-0.37403345858983883,0.9172344635115088,0.8418019924925021,0.8418019924925021,False,0.5
0.3,agc,dct_paired,hadamard_paired,1.0,10.715582969808226,10.879253524456583,-0.16367055464835722,0.9624345652933846,0.9268935684675677,0.9268935684675677,False,0.5
0.3,agc,dct_paired,hadamard_paired,3.0,10.66558933887225,10.774796461628569,-0.1092071227563185,0.9735490459753612,0.9493993260680617,0.9493993260680617,False,0.5
0.3,agc,dct_paired,hadamard_paired,10.0,10.66057427673748,10.764472172446164,-0.10389789570868402,0.9746710498852812,0.9516546280459536,0.9516546280459536,False,0.5
0.3,agc,srht_paired,hadamard_paired,0.001,28.72561085210886,23.3361884891776,5.38942236293126,0.0153974727151532,0.0532118075090392,0.0153974727151532,True,0.5
0.3,agc,srht_paired,hadamard_paired,0.003,24.085866314007504,21.19932977029037,2.886536543717135,0.044789902202506,0.0871896958385855,0.044789902202506,True,0.5
0.3,agc,srht_paired,hadamard_paired,0.01,19.26758014993204,17.795971063932758,1.4716090859992832,0.1355899722745469,0.1906784224956196,0.1355899722745469,True,0.5
0.3,agc,srht_paired,hadamard_paired,0.03,15.538329173302964,14.644449891487822,0.893879281815142,0.3189462236252368,0.3921691460341321,0.3189462236252368,True,0.5
0.3,agc,srht_paired,hadamard_paired,0.1,12.823614614579832,12.310362511995264,0.513252102584568,0.5937100978424003,0.6680302810828382,0.5937100978424003,False,0.5
0.3,agc,srht_paired,hadamard_paired,0.3,11.5729387575531,11.299284178751591,0.27365457880150856,0.7905605982736708,0.8418019924925021,0.7905605982736708,False,0.5
0.3,agc,srht_paired,hadamard_paired,1.0,11.030857066783264,10.879253524456583,0.15160354232668105,0.8952052265503171,0.9268935684675677,0.8952052265503171,False,0.5
0.3,agc,srht_paired,hadamard_paired,3.0,10.885471141897826,10.774796461628569,0.11067468026925731,0.9255873132441672,0.9493993260680617,0.9255873132441672,False,0.5
0.3,agc,srht_paired,hadamard_paired,10.0,10.870138590253672,10.764472172446164,0.10566641780750885,0.9288528829252716,0.9516546280459536,0.9288528829252716,False,0.5
0.3,none,random_uniform,hadamard_paired,0.001,10.935756475253369,24.732925662160103,-13.797169186906734,0.9152617078885212,0.0408319998964326,0.0408319998964326,True,0.5
0.3,none,random_uniform,hadamard_paired,0.003,10.764868071146823,21.27046889193621,-10.505600820789388,0.9517539896335429,0.0870084526934632,0.0870084526934632,True,0.5
0.3,none,random_uniform,hadamard_paired,0.01,10.702072621001903,17.967604583483617,-7.265531962481713,0.9654533746955728,0.1834332186536679,0.1834332186536679,True,0.5
0.3,none,random_uniform,hadamard_paired,0.03,10.676361044923324,15.019796153201398,-4.343435108278074,0.9711379336729364,0.3602344570791982,0.3602344570791982,True,0.5
0.3,none,random_uniform,hadamard_paired,0.1,10.661544296727676,12.603995813369602,-1.9424515166419258,0.9744535491872354,0.625035282578137,0.625035282578137,False,0.5
0.3,none,random_uniform,hadamard_paired,0.3,10.656148474230774,11.456425149466998,-0.8002766752362245,0.9756766625112472,0.8122014866476093,0.8122014866476093,False,0.5
0.3,none,random_uniform,hadamard_paired,1.0,10.651728528832786,10.954604526477317,-0.30287599764453077,0.9766787351061512,0.9110404364284592,0.9110404364284592,False,0.5
0.3,none,random_uniform,hadamard_paired,3.0,10.650578646226164,10.827366704698925,-0.17678805847276102,0.9769309816489152,0.9380169400191348,0.9380169400191348,False,0.5
